title,year,rating,director,stars
Anak ajaib,2008,,Tjandra Warasto,"Juan Bione Subiantoro,El Manik,Vanessa Hinkel"
Di dadaku ada cinta,1986,,Paramitha Rusady,Paramitha Rusady
Hadiah 2.000.000,1962,,Turino Junaidy,"Oslan Husein,Rima Melati,Alwi Oslan"
Guruku cantik sekali,1979,,Ida Farida,"Neneng Alina,Debby Ciptadi,Sandra Ciptadi"
"Nawacita, Dukacita dan Dusta",2016,,Ucu Agustin,"Ucu Agustin,Yuda Kurniawan,Ucu Agustin"
Liku-liku panasnya cinta,1976,,Turino Junaidy,"Robby Sugara,Farouk Afero,Ully Artha"
#66: Action Sequences,2016,,Asun Mawardi,"Asun Mawardi,Yanda Djaitov,Fandy Christian"
Pandji semiran,1953,,S. Waldy,"S. Waldy,R.D. Endang,K. Fatimah"
Berdjumpa kembali,1955,,Hu,"Rd. Mochtar,Ermina Zaenah,Fifi Young"
Dancing for the Gods,2018,,Jelena Vuksanovic,Jelena Vuksanovic
Perempuan kedua,1990,,Ida Farida,"Zainal Abidin,S. Bono,Harry Capri"
The Last Answer,2012,,Radhiyan Pribadi,"Steven Rio Andika,Novrina Nur Isyani,Rieza Mufid"
The Debt Fathers: Inside Indonesia's Debt Collecting Industry,2018,,Arman Dzidzovic,Arman Dzidzovic
Krakatau,1977,4.8,Sandy Suwardi Hasan,"Advent Bangun,Muni Cader,Awang Darmawan"
Di ujung malam,1979,,Nico Pelamonia,"Rae Sita,Dhanny Dahlan,Mogi Darusman"
Teror tengah malam,1972,,Willy Wilianto,"Zainal Abidin,Lenny Marlina,W.D. Mochtar"
Followed,2016,,Ananda Wishnu Mukti,Ananda Wishnu Mukti
Raja dangdut,1978,,Maman Firmansyah,"Rhoma Irama,Ida Royani,Alwi A.S."
Gara-gara djanda muda,1954,,L. Inata,"M. Budhrasa,Djauhari Effendi,Irah"
Wagina Bicara,2010,,Dedi Setiadi,"Arswendo Atmowiloto,Niniek L. Karim,Kinaryosih"
Diaspora: Heritage in Motion,2020,,Suzanne Rastovac,"Suzanne Rastovac,Suzanne Rastovac"
Badai di awal bahagia,1981,,Muchlis Raya,"Rhoma Irama,Ricca Rahim,Dessy Linasari"
Bulan di Atas Kuburan,1973,,Asrul Sani,"Kris Biantoro,Muni Cader,Chitra Dewi"
Semalam Di Rumah Bonita: A Concert Film,2011,,Kyo Hayato Agusta,"Paul Agusta,Kyo Hayato Agusta,Paul Agusta"
Rinda The Series,2019,,Ahmad Lutfi Muzakky,"Fridya Nur Oktavia,Ines Larasati,Joerdy Ramadhan"
Chotto: A Moment in Japan,2013,,,
Makelar kodok,1989,,Norman Benny,"Paramitha Rusady,Doyok Sudarmadji,Kadir"
The Songstress and the Seagull,2011,,Paul Agusta,"Nikita Dompas,Iman Fattah,Kartika Jahja"
Ruang Sunyi,2019,,Zacky Aulia El Syahiq,"Salma Naqib Faradisa,Firman Hadi,Ifo Herwanti"
Love Paper,2012,,Bambang 'Ipoenk' K.M.,
Galau,2014,,Sandeep Ray,"Sandeep Ray,Sandeep Ray"
Rindu Musim Timur,2012,,Wawan Sumarmo,"Krissno Bossa,Andi Hidayat,Febri Khey"
Haryo,2013,,Zidny Nafian,"Martinus Tito Hendrawan,Aldhi Bibiw Suharso,Alvin Joseph Mulyaba"
Dr. Firdaus,1976,,Arizal,"Lenny Marlina,Wahab Abdi,Fadly"
