title,year,rating,director,stars
Warkop DKI Reborn 3,2019,4.0,Rako Prijanto,"Aliando Syarief,Adipati Dolken,Randy Nidji"
Pintu Terlarang,2009,6.8,Joko Anwar,"Fachry Albar,Marsha Timothy,Ario Bayu"
What's Up with Cinta?,2002,7.7,Rudy Soedjarwo,"Dian Sastrowardoyo,Nicholas Saputra,Ladya Cheryl"
Anak Garuda,2020,8.7,Faozan Rizal,"Tissa Biani Azzahra,Violla Georgie,Ajil Ditto"
Tarung Sarung,2020,5.9,Archie Hekagery,"Panji Zoni,Yayan Ruhian,Maizura"
The Raid: Redemption,2011,7.6,Gareth Evans,"Iko Uwais,Ananda George,Ray Sahetapy"
Java Heat,2013,5.1,Conor Allyn,"Kellan Lutz,Verdi Solaiman,Mickey Rourke"
Sabrina,2018,4.2,Rocky Soraya,"Luna Maya,Christian Sugiono,Sara Wijayanto"
18+: True Love Never Dies,2010,4.9,Nayato Fio Nuala,"Arumy Bachsin,Rangga Djoned,Adipati Dolken"
Under the Age,2020,5.0,Emil Heradi,"Angga Yunanda,Yoriko Angeline,Shenina Cinnamon"
Satria Dewa: Gatotkaca,2021,,Hanung Bramantyo,"Yayan Ruhian,Cecep Arif Rahman,Jerome Kurnia"
Kafir: Bersekutu dengan Setan,2018,6.9,Azhar Kinoi Lubis,"Putri Ayudya,Sujiwo Tejo,Indah Permatasari"
Critical Eleven,2017,7.3,Robert Ronny,"Reza Rahadian,Adinia Wirasti,Slamet Rahardjo"
Dead Mine,2012,4.5,Steven Sheil,"Miki Mizuno,Sam Hazeldine,Ario Bayu"
Asih 2,2020,8.4,Rizal Mantovani,"Shareefa Daanish,Marsha Timothy,Ario Bayu"
This Earth of Mankind,2019,6.6,Hanung Bramantyo,"Iqbaal Dhiafakhri Ramadhan,Mawar Eva de Jongh,Sha Ine Febriyanti"
Hit & Run,2019,6.3,Ody C. Harahap,"Joe Taslim,Chandra Liow,Tatjana Saphira"
Marlina the Murderer in Four Acts,2017,7.0,Mouly Surya,"Marsha Timothy,Egy Fedly,Tumpal Tampubolon"
Killers,2014,6.4,Kimo Stamboel,"Kazuki Kitamura,Oka Antara,Rin Takanashi"
Macabre,2009,6.5,Kimo Stamboel,"Shareefa Daanish,Julie Estelle,Ario Bayu"
Buffalo Boys,2018,5.8,Mike Wiluan,"Yoshi Sudarso,Ario Bayu,Pevita Pearce"
The Heartbreak Club,2021,6.3,Bagus Bramanti,"Bhisma Mulia,Denira Wiraguna,Fransisca Saraswati Puspa Dewi"
Baco Becce,2018,8.1,Syahrir Arsyad Dini,"Mimi Peri,Syukri Algazali,Mamak Ramlah"
Susi Susanti: Love All,2019,7.5,Sim F.,"Laura Basuki,Dion Wiyoko,Jenny Chang"
Dignitate,2020,7.9,Fajar Nugros,"Al Ghazali,Caitlin Halderman,Giorgino Abraham"
Twivortiare,2019,5.9,Benni Setiawan,"Reza Rahadian,Raihaanun Soeriaatmadja,Arifin Putra"
Prenjak,2016,8.5,Wregas Bhanuteja,"Rosa Winenggar,Yohanes Budyambara,Hosea Hatmaji"
Pengabdi Setan,1982,5.6,Sisworo Gautama Putra,"Ruth Pelupessi,W.D. Mochtar,Fachrul Rozy"
What's Up with Cinta 2,2016,7.4,Riri Riza,"Nicholas Saputra,Dian Sastrowardoyo,Titi Kamal"
A Copy of My Mind,2015,7.2,Joko Anwar,"Tara Basro,Chicco Jerikho,Maera Panigoro"
Silariang the Movie,2017,8.0,Wisnu Adi,"Nurlela M. Ipa,Dewi Irawan,Bisma Karisma"
DreadOut,2019,5.1,Kimo Stamboel,"Caitlin Halderman,Jefri Nichol,Marsha Aruan"
Crazy Awesome Teachers,2020,6.2,Sammaria Simanjuntak,"Gading Marten,Boris Bokir,Kevin Ardillova"
Pretty Boys,2019,6.8,Tompi,"Vincent Ryan Rompies,Deddy Mahendra Desta,Danilla Riyadi"
Si Doel the Movie 3,2020,6.6,Rano Karno,"Rano Karno,Maudy Koesnaedi,Cornelia Agatha"
Santet,2018,3.8,Helfi C.H. Kardit,"Kelly Brook,Marcellino Lafrand,Ayu Dyah Pasha"
Without Mercy,1995,5.2,Robert Chappell,"Frank Zagarino,Ayu Azhari,Martin Kove"
Sin: When Your Lover is a Sibling,2019,7.8,Herwin Novianto,"Bryan Domani,Mawar Eva de Jongh,Jerome Kurnia"
Whipped,2020,4.0,Chandra Liow,"Andovi Da Lopez,Jovial Da Lopez,Tommy Limm"
Mystics in Bali,1981,5.7,H. Tjut Djalil,"Ilona Agathe Bastian,Yos Santo,Sofia W.D."
Primitif,1980,3.2,Sisworo Gautama Putra,"Enny Haryono,Barry Prima,Johann Mardjono"
Dancing in the Rain,2018,8.1,Rudi Aryanto,"Dimas Anggara,Bunga Zainal,Deva Mahenra"
Lady Dragon,1992,5.2,David Worth,"Cynthia Rothrock,Richard Norton,Robert Ginty"
Warkop DKI Reborn 4,2020,5.1,Rako Prijanto,"Aliando Syarief,Adipati Dolken,Randy Nidji"
Memories of My Body,2018,7.5,Garin Nugroho,"Muhammad Khan,Raditya Evandra,Rianto"
Kuntilanak 2,2019,4.8,Rizal Mantovani,"Sandrinna Michelle,Andryan Bima,Ali Fikry"
Milea,2020,6.1,Pidi Baiq,"Iqbaal Dhiafakhri Ramadhan,Vanesha Prescilla,Ira Wibowo"
The Chanting,2006,6.1,Rizal Mantovani,"Julie Estelle,Evan Sanders,Ratu Felisha"
Lily of the Valley,2019,8.1,Giovanni Rustanto,"Imelda Therinne,Adhisty Zara,Farish Nahdi"
Affliction,2021,6.2,Teddy Soeriaatmadja,"Raihaanun Soeriaatmadja,Tutie Kirana,Ibnu Jamil"
Sakral,2018,6.5,Tema Patrosza,"Olla Ramlan,Teuku Zacky Azwar,Makayla Rose Hilli"
Pocong Mandi Goyang Pinggul,2011,1.8,Yoyok Subagyo,"Ucok Baba,Annisa Bahar,Tata Dado"
Susah Sinyal,2017,7.1,Ernest Prakasa,"Adinia Wirasti,Ernest Prakasa,Aurora Ribero"
Eggnoid: Love & Time Portal,2019,6.3,Naya Anindita,"Sheila Dara Aisha,Morgan Oey,Luna Maya"
Possesive,2017,7.3,Edwin,"Putri Marino,Adipati Dolken,Griselda Agatha"
100% Halal,2020,6.7,Jastis Arimba,"Anisa Rahma,Anandito Dwis,Kinaryosih"
Lewat Djam Malam,1954,7.0,Usmar Ismail,"A.N. Alcaff,Dhalia,Netty Herawati"
Titisan Setan: Chapter Two,2020,,Agusti Tanjung,"Jeff Smith,Stefhani Zamora Husen,Bryan Andrew"
Wedding Agreement,2019,6.2,Archie Hekagery,"Indah Permatasari,Refal Hady,Aghniny Haque"
Surat Cinta Untuk Starla the Movie,2017,6.9,Rudi Aryanto,"Jefri Nichol,Caitlin Halderman,Salshabilla Adriani"
Layla Majnun,2021,6.2,Monty Tiwa,"Acha Septriasa,Reza Rahadian,Baim Wong"
Laskar Pelangi,2008,7.8,Riri Riza,"Cut Mini Theo,Zulfanny,Ikranagara"
The Sinking of Van Der Wijck,2013,7.6,Sunil Soraya,"Herjunot Ali,Pevita Pearce,Reza Rahadian"
Jelita Sejuba: Mencintai Kesatria Negara,2018,9.1,Ray Nayoan,"Putri Marino,Wafda Saifan Lubis,Alvaro Maldini Siregar"
Jaka Sembung,1981,6.3,Sisworo Gautama Putra,"Barry Prima,W.D. Mochtar,Dana Christina"
Bisikan Nafsu,1996,6.8,Steady Rimba,"Irwan Ibon Baihaki,Ibra Azhari,Windy Chindyana"
My Stupid Boss 2,2019,6.6,Upi Avianto,"Reza Rahadian,Bunga Citra Lestari,Kin Wah Chew"
#FriendsButMarried,2018,6.9,Rako Prijanto,"Adipati Dolken,Vanesha Prescilla,Refal Hady"
Raped by Saitan (Diperkosa Setan),2010,5.2,Petruska Karangan,"Cynthiara Alona,Winda Amanta,Anggun"
Toilet 105,2010,5.4,Hartawan Triguna,"Coralie Gerald,Ricky Harun,Aming Sugandhi"
The Way I Love You,2019,7.5,Rudi Aryanto,"Syifa Hadju,Rizky Nazar,Tissa Biani Azzahra"
The Storylines,2020,7.1,Danial Rifki,"Beby Tsabina,Juan Bione Subiantoro,Donny Damara"
Jakarta,1988,4.7,Charles Kaufman,"Chris Noth,Suzee Pai,Frans Tumbuan"
Soekarno: Indonesia Merdeka,2013,7.0,Hanung Bramantyo,"Ario Bayu,Muhammad Abbe,Moch. Achir"
Heart,2006,6.6,Hanny Saputra,"Nirina Zubir,Irwansyah,Acha Septriasa"
Quarantine Tales,2020,7.6,Ifa Isfansyah,"Adinia Wirasti,Faradina Mufti,Marissa Anita"
Mereka Yang Tak Terlihat,2017,6.5,Billy Christian,"Estelle Linden,Sophia Latjuba,Bianca Hello"
Dear Nathan Hello Salma,2018,7.6,Indra Gunawan,"Jefri Nichol,Amanda Rawles,Susan Sameh"
Ajari Aku Islam,2019,7.3,Deni Pusung,"Roger Danuarta,Cut Meyriska,Shinta Naomi"
Reuni Z,2018,4.8,Soleh Solihun,"Soleh Solihun,Tora Sudiro,Dinda Kanyadewi"
The Heaven None Missed 3,2021,,Pritagita Arianegara,"Marsha Timothy,Fedi Nuril,Reza Rahadian"
Ranah 3 Warna,2021,,Guntur Soeharjanto,"Arbani Yasiz,Amanda Rawles,Teuku Rasya"
Permainan Binal,1995,8.1,Yonky Souhoka,"Ibra Azhari,Windy Chindyana,Sonny Dewantara"
Single 2,2019,6.4,Raditya Dika,"Raditya Dika,Annisa Rawles,Yoga Arizona"
4 Mantan,2020,5.9,Hanny Saputra,"Ranty Maria,Jeff Smith,Melanie Berentz"
Hijrah Cinta,2014,8.3,Hanung Bramantyo,"Alfie Alfandi,Revalina S. Temat,Piet Pagau"
Wengi: Anak Mayit,2018,8.7,Nayato Fio Nuala,"Sara Wijayanto,Atiyah Shahab,Demian"
5 cm,2012,7.2,Rizal Mantovani,"Herjunot Ali,Fedi Nuril,Pevita Pearce"
Silam,2018,5.3,Jose Poernomo,"Zidane Khalid,Surya Saputra,Wulan Guritno"
I Know When You Dead,2020,3.6,Hadrah Daeng Ratu,"Natasha Wilona,Ria Ricis,Al Ghazali"
Dead Time,2007,7.0,Joko Anwar,"Donny Alamsyah,Fachry Albar,Ario Bayu"
Dear Nathan,2017,7.0,Indra Gunawan,"Amanda Rawles,Jefri Nichol,Surya Saputra"
The Guys,2017,6.6,Raditya Dika,"Raditya Dika,Pevita Pearce,Phongsiree Bunluewong"
My Idiot Brother,2014,7.4,Alyandra,"Adilla Fitri,Donny Kusuma,Ali Mensan"
Wanita Dalam Gairah,1994,7.2,H. Tjut Djalil,"Inneke Koesherawati,Andy Jufri,Rara Azis"
Bangkitnya Mayit: The Dark Soul,2019,,Dicky Chandra,"Dicky Chandra,Jennifer Rachel Natasya,T. Rifnu Wikana"
Ken Arok - Ken Dedes,1983,7.5,Djun Saptohadi,"Bram Adrianto,Baron Ahmadi,Ali Albar"
An Anthology of Fellings,2019,6.5,Rizal Mantovani,"Herjunot Ali,Carissa Perusset,Refal Hady"
The Heaven None Missed,2015,7.8,Kuntz Agus,"Fedi Nuril,Laudya Cynthia Bella,Raline Shah"
MeloDylan,2019,6.1,Fajar Nugros,"Devano Danendra,Aisyah Aqilah,Angga Yunanda"
Yowis Ben 2,2019,7.1,Fajar Nugros,"Bayu Skak,Joshua Suherman,Brandon Salim"
Cinta Tanpa Tapi,2021,,Bobby Herlambang,"Rangga Azof,Dinda Surbakti,Nina Tamam"
Guardian,2014,4.2,Helfi C.H. Kardit,"Sarah Carter,Tio Pakusadewo,Nino Fernandez"
Merah Putih,2009,6.2,Yadi Sugandi,"Donny Alamsyah,Rahayu Saraswati,Lukman Sardi"
Filosofi Kopi,2015,7.1,Angga Dwimas Sasongko,"Rio Dewanto,Chicco Jerikho,Julie Estelle"
Perahu Kertas,2012,7.0,Hanung Bramantyo,"Maudy Ayunda,Adipati Dolken,Reza Rahadian"
Ashiap Man,2021,,Atta Halilintar,"Atta Halilintar,Aurel Hermansyah,Nasya Marcella"
Suster Keramas 2,2011,4.1,Findo Purwono,"Ricky Harun,Zidni Adam Zawas,Sora Aoi"
Depan Bisa Belakang Bisa,1987,6.6,H. Tjut Djalil,"Dono Warkop,Indro Warkop,Kasino Warkop"
Misteri Janda Kembang,1991,6.0,H. Tjut Djalil,"H.I.M. Damsyik,Fujiyanti,Sally Marcellina"
Cinta dan Nafsu,1996,5.5,Emil G. Hampp,"Emil G. Hampp,Ibra Azhari,Febby Lawrence"
Rafathar,2017,1.4,Bounty Umbara,"Rafathar Malik Ahmad,Raffi Ahmad,Babe Cabita"
The Hacker,2015,6.8,Fajri Hariyuki,"Chandra Z. Airlangga,Febrian Fadli,Andi Jagger"
Eiffel I'm in Love 2,2018,6.4,Rizal Mantovani,"Shandy Aulia,Samuel Rizal,Saphira Indah"
Catatan Si Boy,1987,7.1,Nasri Cheppy,"Didi Petet,Onky Alexander,Ayu Azhari"
Something in Between,2018,7.3,Asep Kusdinar,"Jefri Nichol,Amanda Rawles,Naufal Samudra Weichert"
Angel of Fury,1992,4.3,Ackyl Anwari,"Cynthia Rothrock,Chris Barnes,Peter O'Brian"
Crazy Love,2013,7.1,Guntur Soeharjanto,"Harry de Fretes,Adipati Dolken,Herichan"
The Ex-Lover Shop,2020,5.8,Viva Westi,"Reza Rahadian,Marsha Timothy,Iedil Dzuhrie Alaudin"
CJR the Movie: Lawan Rasa Takutmu,2015,7.4,Patrick Effendy,"Iqbaal Dhiafakhri Ramadhan,Teuku Ryzki,Alvaro Maldini Siregar"
"Sultan Agung: Tahta, Perjuangan, Cinta",2018,7.1,Hanung Bramantyo,"Ario Bayu,Marthino Lio,Adinia Wirasti"
Letters from Prague,2016,7.2,Angga Dwimas Sasongko,"Julie Estelle,Tio Pakusadewo,Rio Dewanto"
Aruna & Her Palate,2018,7.2,Edwin,"Dian Sastrowardoyo,Nicholas Saputra,Hannah Al Rashid"
Surat dari Kematian,2020,5.8,Hestu Saputra,"Carissa Perusset,Endy Arfian,Jerome Kurnia"
Bulan Terbelah di Langit Amerika,2015,6.1,Rizal Mantovani,"Acha Septriasa,Abimana Aryasatya,Nino Fernandez"
Namamu Kata Pertamaku,2018,9.0,Syahrir Arsyad Dini,"Adipati Dolken,Rania Putri Sari,Bogel Apriansyah"
Viva JKT48,2014,7.8,Awi Suryadi,"Melody Nurramdhani Laksani,Nabilah Ratna Ayu Azalia,Ayana Shahab"
Jailangkung,2017,3.7,Rizal Mantovani,"Amanda Rawles,Jefri Nichol,Hannah Al Rashid"
The Photograph,2007,6.8,Nan Triveni Achnas,"Kay Tong Lim,Shanty,Lukman Sardi"
Malam Jumat Kliwon,1986,7.9,Sisworo Gautama Putra,"Amit Abidin,Soendjoto Adibroto,Ali Albar"
Golden Cane Warrior,2014,6.2,Ifa Isfansyah,"Eva Celia Latjuba,Nicholas Saputra,Reza Rahadian"
Moammar Emka's Jakarta Undercover,2017,7.2,Fajar Nugros,"Zoya Amirin,Oka Antara,Ganindra Bimo"
Dangerous Seductress,1992,4.7,H. Tjut Djalil,"Kristin Anin,Tonya Lawson,Joseph Cassano"
Jaga Pocong,2018,6.4,Hadrah Daeng Ratu,"Acha Septriasa,Zack Lee,Aqilla Herby"
The Ghost Painter,2020,7.1,Arie Kriting,"Ge Pamungkas,Michelle Ziudith,Jenny Zhang"
Rasuk,2018,5.2,Ubay Fox,"Shandy Aulia,Miller Khan,Denira Wiraguna"
Lampor: Keranda Terbang,2019,6.3,Guntur Soeharjanto,"Adinia Wirasti,Dion Wiyoko,Nova Eliza"
Jendral Soedirman,2015,7.9,Viva Westi,"Adipati Dolken,Ibnu Jamil,Gogot Suryanto"
22 Menit,2018,6.1,Eugene Panji,"Ario Bayu,Ade Firman Hakim,Ardina Rasti"
Negeri Van Oranje,2015,7.3,Endri Pelita,"Tatjana Saphira,Chicco Jerikho,Abimana Aryasatya"
Love is Blind,2019,6.0,Rachmania Arunita,"Shandy Aulia,Dodit Mulyanto,Chae In-Woo"
Negeri Dongeng,2017,,Anggi Frisca,
Operation Wedding,2013,6.7,Monty Tiwa,"Yuki Kato,Bucek Depp,Adipati Dolken"
About A Woman,2015,8.1,Teddy Soeriaatmadja,"Rendy Ahmad,Anneke Jodi,Tutie Kirana"
Galih dan Ratna,2017,6.6,Lucky Kuswandi,"Refal Hady,Sheryl Sheinafia,Joko Anwar"
The Mentalist,2011,7.3,Walmer Sitohang,"Meiditha Badawijaya,Jodi Lyn Brockton,Deddy Corbuzier"
Too Handsome to Handle,2019,6.8,Sabrina Rochelle Kalangie,"Ari Irham,Nikita Willy,Rachel Amanda"
"A: Me, Hate and Love",2017,7.2,Rizki Balki,"Indah Permatasari,Jefri Nichol,Amanda Rawles"
Iseng,2016,7.3,Adrian Tang,"Donny Alamsyah,Viola Arsa,Ayushita"
Perjanjian di Malam Keramat,1991,5.8,Sisworo Gautama Putra,"Anita Anjani,Alex Bernard,Malino Djunaedy"
"Kajeng Kliwon, Nightmare in Bali",2019,6.1,Bambang Drias,"Amanda Manoppo,Christ Laurent,Atikah Suhaime"
Ketika Cinta Bertasbih,2009,6.1,Chaerul Umam,"Kholidi Asadil Alam,Oki Setiana Dewi,Alice Norin"
13: The Haunted,2018,5.6,Rudy Soedjarwo,"Al Ghazali,Mikha Tambayong,Valerie Thomas"
Once Upon a Time in Indonesia,2020,2.1,Asun Mawardi,"Franki Darmawan,Djaitov Tigor,Ryana Dea"
Bulan Terbelah di Langit Amerika 2,2016,4.4,Rizal Mantovani,"Acha Septriasa,Abimana Aryasatya,Nino Fernandez"
Koboy Kampus,2019,6.0,Pidi Baiq,"Jason Ranti,Ricky Harun,David Jhon"
Catatan Akhir Sekolah,2005,7.3,Hanung Bramantyo,"Joanna Alexandra,Vino G. Bastian,Marcel Chandrawinata"
Romeo + Rinjani,2015,5.9,Fajar Bustomi,"Deva Mahenra,Kimberly Ryder,Alexa Key"
Micin Generation,2018,6.3,Fajar Nugros,"Kevin Anggara,Clairine Clay,Morgan Oey"
Bike Boyz,2019,7.5,Aris Nugraha,"Aep Bancet,Aline Manza,Gariz Luiz"
Pengkhianatan G30S/PKI,1984,5.8,Arifin C. Noer,"Bram Adrianto,Syu'bah Asa,Ade Irawan"
#Malam Jumat: The Movie,2019,5.2,Hadrah Daeng Ratu,"Ewing H.D.,Zoe Abbas Jackson,Dea Annisa"
Sabtu Bersama Bapak,2016,7.5,Monty Tiwa,"Abimana Aryasatya,Ira Wibowo,Arifin Putra"
212: The Power of Love,2018,5.1,Jastis Arimba,"Kholidi Asadil Alam,Fauzi Baadila,Adhin Abdul Hakim"
"The Sun, the Moon, & the Hurricane",2014,7.5,Andri Cung,"Natalius Chendana,William Tjokro,Gesata Stella"
What They Don't Talk About When They Talk About Love,2013,7.2,Mouly Surya,"Nicholas Saputra,Ayushita,Karina Salim"
Air Terjun Pengantin,2009,3.5,Rizal Mantovani,"Tamara Blezinski,Marcel Chandrawinata,Tyas Mirasih"
Buya Hamka,2021,,Fajar Bustomi,"Vino G. Bastian,Laudya Cynthia Bella,Desy Ratnasari"
Indonesia Kirana,2016,9.4,Febian Nurrahman Saktinegara,"Dzulfiqar Abduljabbar,Ahira Amarillis,Larasati Dewi Harsono"
Rintihan Kuntilanak Perawan,2010,3.9,Yoyok Subagyo,"Tera Patrick,Angel Lelga,Christian Nino"
13 Cara Memanggil Setan,2011,4.9,A. Liong Wong,"Debby Ayu,Five Vi,Ki Kusumo"
Abracadabra,2019,6.1,Faozan Rizal,"Reza Rahadian,Butet Kertaradjasa,Salvita Decorte"
Ghibah,2021,,Monty Tiwa,"Verrell Bramasta,Anggika Bolsterli,Josephine Firmstone"
Three Days to Eternity,2007,7.1,Riri Riza,"Bowie Budianto,Tutie Kirana,Ringgo Agus Rahman"
Beranak dalam Kubur,1972,5.8,Awaludin,"Sofia Amang,Robby Hart,Baron Hermanto"
Firegate,2016,5.5,Rizal Mantovani,"Julie Estelle,Reza Rahadian,Ray Sahetapy"
Ananta,2018,7.8,Rizki Balki,"Michelle Ziudith,Fero Walandouw,Nino Fernandez"
Petualangan Cinta Nyi Blorong,1986,6.1,Sisworo Gautama Putra,"Suzzanna,Advent Bangun,George Rudy"
Ferocious Female Freedom Fighters,1982,5.0,Jopi Burnama,"Eva Arnaz,Barry Prima,Leily Sagita"
A Man Called Ahok,2018,8.8,Putrama Tuta,"Daniel Mananta,Kin Wah Chew,Eric Febrian"
Setetes Noda Manis,1994,7.8,Maman Firmansyah,"Inneke Koesherawati,Reynaldi,Zainal Abidin"
Budak Nafsu,1983,7.5,Sjuman Djaya,"Minati Atmanegara,Muni Cader,Sjuman Djaya"
Eyang Kubur,2013,6.2,Findo Purwono,"Ray Sahetapy,Yadi Sembako,Putri Ariani"
Ritual,2019,4.9,Findo Purwono,"Salshabilla Adriani,Richelle Georgette Skornicki,Ferry Ardiansyah"
Question Mark,2011,7.0,Hanung Bramantyo,"Reza Rahadian,Revalina S. Temat,Agus Kuncoro"
Sagarmatha,2015,7.6,Emil Heradi,"Emil Heradi,Damas Cendekia,Nadine Chandrawinata"
Jomblo,2017,6.6,Hanung Bramantyo,"Ge Pamungkas,Richard Kyle,Deva Mahenra"
Atas Boleh Bawah Boleh,1986,5.1,H. Tjut Djalil,"Dono Warkop,Kasino Warkop,Indro Warkop"
Sweet Twenty,2017,7.3,Ody C. Harahap,"Tatjana Saphira,Niniek L. Karim,Morgan Oey"
Chrisye,2017,7.4,Rizal Mantovani,"Vino G. Bastian,Velove Vexia,Verdi Solaiman"
308,2013,6.4,Jose Poernomo,"Shandy Aulia,Denny Sumargo,Kartika Putri"
Asmara Dua Diana,2009,5.5,Awi Suryadi,"Jamie Aditya,Luna Maya,Aura Kasih"
The Gift,2018,7.4,Hanung Bramantyo,"Reza Rahadian,Ayushita,Dion Wiyoko"
Pertaruhan,2017,7.9,Krishto D. Alam,"Tio Pakusadewo,Adipati Dolken,Aliando Syarief"
Batas Impian Ranjang Setan,1986,4.5,H. Tjut Djalil,"Didier A. Hamel,Chintami Atmanegara,Linda Lolita Hoesin"
La tahzan,2013,6.2,Danial Rifki,"Atiqah Hasiholan,Joe Taslim,Ario Bayu"
Perkawinan Nyi Blorong,1983,5.8,Sisworo Gautama Putra,"Suzzanna,Clift Sangra,Soendjoto Adibroto"
99 Cahaya di Langit Eropa,2013,6.4,Guntur Soeharjanto,"Acha Septriasa,Abimana Aryasatya,Raline Shah"
Tanah Surga... Katanya,2012,6.9,Herwin Novianto,"Osa Aji Santoso,Norman R. Akyuwen,Andre Dimas Apri"
Clown of the Dead,2015,5.1,Awi Suryadi,"Daniel Topan,Christoffer Nelwan,Aurélie Moeremans"
Sang Kiai,2013,6.7,Rako Prijanto,"Ikranagara,Christine Hakim,Agus Kuncoro"
Darah Perawan Bulan Madu,2009,4.9,Hartawan Triguna,"Indah Kalalo,Restu Sinaga,Yogi Aldi"
Saur Sepuh: Satria Madangkara,1988,7.5,Imam Tantowi,"Murti Sari Dewi,Elly Ermawati,Baron Hermanto"
Forgotten Rules,1990,7.1,H. Tjut Djalil,"Eva Arnaz,Diding Boneng,Rini S. Bono"
Danur 3: Sunyaruri,2019,4.9,Awi Suryadi,"Prilly Latuconsina,Rizky Nazar,Syifa Hadju"
When Will You Get Married?,2015,7.3,Ody C. Harahap,"Adinia Wirasti,Reza Rahadian,Adi Kurdi"
Pasukan Garuda: I Leave My Heart in Lebanon,2016,6.6,Benni Setiawan,"Rio Dewanto,Jowy Khoury,Revalina S. Temat"
Keluarga Slamet,2021,,Rako Prijanto,"Indro Warkop,Desy Ratnasari,Onadio Leonardo"
Bridezilla,2019,5.9,Andibachtiar Yusuf,"Jessica Mila,Rio Dewanto,Sheila Dara Aisha"
Virgin 3: Satu Malam Mengubah Segalanya,2011,5.7,Nayato Fio Nuala,"Alex Abbad,Raffi Ahmad,Fikri Baladraf"
Mana Bisa Tahan,1990,6.6,Arizal,"Zainal Abidin,Nurul Arifin,Diding Boneng"
Jailangkung 2,2018,4.0,Rizal Mantovani,"Amanda Rawles,Jefri Nichol,Hannah Al Rashid"
3600 Detik,2014,6.6,Nayato Fio Nuala,"Indra Birowo,Ponco Buwono,Febby Febiola"
#StopOnYou,2021,5.4,Indra Gunawan,"Roger Danuarta,Cut Meyriska,Salshabilla Adriani"
World Agent,2021,6.2,Herwin Novianto,"Baim Wong,Onadio Leonardo,Clara Bernadeth"
Kado,2018,7.1,Aditya Ahmad,"Aditya Ahmad,Aditya Ahmad,Isfira Febiana"
Saya Suka Kamu Punya,1987,,Tommy Burnama,"Devi Alwan Halim,Doyok,Gino Makasutji"
Sesat: Yang Sudah Pergi Jangan Dipanggil Lagi,2018,6.3,Sammaria Simanjuntak,"Laura Theux,Rebecca Klopper,Vonny Cornellya"
Darah Daging,2019,7.8,Sarjono Sutrisno,"Ario Bayu,Donny Alamsyah,Rangga Nattra"
Jakarta Undercover,2006,6.1,Lance Laggong,"Luna Maya,Lukman Sardi,Fachry Albar"
Bebas Aturan Main,1993,5.2,H. Tjut Djalil,"Dono Warkop,Kasino Warkop,Indro Warkop"
3 Doa 3 Cinta,2008,6.7,Nurman Hakim,"Brohisman,Butet Kertaradjasa,Yoga Pratama"
Black Belt Karate,1979,6.5,Wisjnu Mouradhy,"Chin-Kun Li,Siu-Lung Leung,Lieh Lo"
99 Names of Love,2019,8.0,Danial Rifki,"Acha Septriasa,Deva Mahenra,Ira Wibowo"
Heart 2 Heart,2010,8.4,Nayato Fio Nuala,"Aliff Alli,Arumy Bachsin,Irish Bella"
Mars Met Venus (Part Cowo),2017,6.2,Hadrah Daeng Ratu,"Ge Pamungkas,Pamela Bowie,Reza Nangin"
Tentang Cinta,2007,7.9,Soni Gaokasak,"Vino G. Bastian,Hayria Faturrahman,Sheila Marcia"
Leap,2018,5.9,Kasia Wezowski,"Hisham Abdalla,Tara Antler,Clinton Callahan"
Film Horor,2007,5.2,Toto Hoedi,"Dwi A.P.,Ferdinal Arnaz,Maria Eva"
Gita Cinta dari SMA,1979,8.1,Arizal,"Adisoerya Abdi,Lisa Dona,Yessy Gusman"
The Teacher,2021,,Sarjono Sutrisno,"Sani Adhitama,Aek Bewava,Kevin Bzezovski"
Akhirat: A Love Story,2021,,Jason Iskandar,"Adipati Dolken,Della Dartyan,Verdi Solaiman"
Pulau Hantu 2,2008,4.0,Jose Poernomo,"Ricky Harun,Abdurrahman Arif,Reza Rahadian"
The Boy with Moving Image,2020,,Roufy Nasution,"1 more credit,Hafidz Aulia,Bryancini Galgala"
SkakMat,2015,6.8,Ody C. Harahap,"Donny Alamsyah,Tanta Ginting,Hannah Al Rashid"
Kuntilanak 2,2007,5.7,Rizal Mantovani,"Sutan Amanullah,Bella Esperance,Julie Estelle"
5 Cowok Jagoan,2017,6.4,Anggy Umbara,"Ario Bayu,Dwi Sasono,Cornelio Sunny"
Get Married,2007,6.5,Hanung Bramantyo,"Nirina Zubir,Deddy Mahendra Desta,Ringgo Agus Rahman"
Promise,2017,7.2,Asep Kusdinar,"Mikha Tambayong,Dimas Anggara,Boy William"
Cinta Brontosaurus,2013,6.2,Fajar Nugros,"Raditya Dika,Eriska Rein,Soleh Solihun"
Rain Behind the Window,2021,6.0,Dyan Sunu Prastowo,"Raditya Kurnia,Clara Bernadeth,Yasamin Jasem"
Mata Dewa,2018,7.8,Andibachtiar Yusuf,"Kenny Austin,Brandon Salim,Agatha Chelsea"
Kain Kafan Hitam,2019,8.0,Yudhistira Bayuadji,"Maxime Bouttier,Haico Van Der Veken,Shandy William"
PSP: Gaya Mahasiswa,2019,5.3,Hilman Mutasi,"Uus,Adjis Doaibu,David Schaap"
Love for Share,2006,7.5,Nia Di Nata,"Jajang C. Noer,Shanty,Dominique Agisca Diyose"
The Unchangeables,2021,7.2,Herwin Novianto,"Lulu Tobing,Dewa Dayana,Yasamin Jasem"
